date,temp_max,temp_min,precipitation,rain,weather_code
2020-06-22,28.1,20.1,5.6,5.6,63
2020-06-23,24.0,17.4,20.5,20.5,63
2020-06-24,23.9,15.4,3.2,3.2,61
2020-06-25,23.7,16.1,0.5,0.5,53
2020-06-26,30.1,17.7,3.8,3.8,63
2020-06-27,29.1,21.0,15.5,15.5,63
2020-06-28,26.5,21.3,5.8,5.8,61
2020-06-29,29.3,21.1,2.5,2.5,61
2020-06-30,27.2,21.8,6.8,6.8,63
2020-07-01,26.2,21.6,0.6,0.6,53
2020-07-02,27.2,19.5,0.0,0.0,3
2020-07-03,28.7,18.5,0.0,0.0,3
2020-07-04,26.7,20.4,0.0,0.0,3
2020-07-05,29.5,19.8,0.0,0.0,1
2020-07-06,32.5,21.2,0.3,0.3,51
2020-07-07,32.2,23.4,0.9,0.9,53
2020-07-08,31.4,24.0,2.8,2.8,53
2020-07-09,33.8,24.4,0.5,0.5,51
2020-07-10,28.5,21.8,21.6,21.6,63
2020-07-11,29.5,20.2,1.9,1.9,61
2020-07-12,27.5,20.1,6.5,6.5,63
2020-07-13,24.8,16.9,0.6,0.6,51
2020-07-14,29.6,17.9,0.0,0.0,3
2020-07-15,29.9,21.0,0.2,0.2,51
2020-07-16,24.2,21.4,70.0,70.0,65
2020-07-17,29.7,18.5,0.0,0.0,3
2020-07-18,32.5,22.8,0.0,0.0,3
2020-07-19,31.0,24.0,13.1,13.1,65
2020-07-20,26.9,20.2,0.0,0.0,3
2020-07-21,27.2,21.9,0.3,0.3,51
2020-07-22,28.5,21.5,5.8,5.8,61
2020-07-23,27.8,19.5,0.1,0.1,51
2020-07-24,25.5,18.0,0.1,0.1,51
2020-07-25,30.2,18.9,0.0,0.0,3
2020-07-26,32.8,22.6,0.3,0.3,51
2020-07-27,30.1,23.2,19.5,19.5,63
2020-07-28,28.8,19.3,0.1,0.1,51
2020-07-29,29.0,21.2,0.4,0.4,51
2020-07-30,25.2,21.4,2.5,2.5,53
2020-07-31,24.5,19.2,0.0,0.0,3
2020-08-01,23.9,20.5,0.7,0.7,51
2020-08-02,27.0,19.7,8.9,8.9,61
2020-08-03,21.5,17.9,7.0,7.0,63
2020-08-04,19.6,16.7,0.5,0.5,51
2020-08-05,23.2,12.4,0.0,0.0,3
2020-08-06,24.4,15.6,0.0,0.0,3
2020-08-07,26.0,15.4,0.0,0.0,0
2020-08-08,31.7,18.5,0.0,0.0,3
2020-08-09,33.0,22.0,0.1,0.1,51
2020-08-10,29.5,22.4,20.2,20.2,63
2020-08-11,25.2,18.9,0.0,0.0,3
2020-08-12,25.2,16.8,0.0,0.0,3
2020-08-13,25.9,19.5,0.0,0.0,3
2020-08-14,27.3,19.9,0.0,0.0,0
2020-08-15,28.5,19.9,0.1,0.1,51
2020-08-16,25.0,18.4,1.3,1.3,53
2020-08-17,26.1,18.8,0.0,0.0,3
2020-08-18,25.0,20.8,0.0,0.0,2
2020-08-19,24.2,16.2,0.0,0.0,0
2020-08-20,29.4,15.3,0.0,0.0,0
2020-08-21,29.5,17.5,0.0,0.0,2
2020-08-22,31.0,18.0,0.0,0.0,1
2020-08-23,31.5,19.5,0.7,0.7,53
2020-08-24,35.3,21.3,0.2,0.2,51
2020-08-25,32.2,22.1,4.0,4.0,61
2020-08-26,33.5,22.5,0.0,0.0,1
2020-08-27,32.1,24.0,3.3,3.3,61
2020-08-28,31.2,23.5,2.1,2.1,55
2020-08-29,27.1,21.1,0.6,0.6,51
2020-08-30,24.5,18.8,0.0,0.0,3
2020-08-31,30.5,18.4,0.0,0.0,3
2020-09-01,26.9,20.4,5.0,5.0,55
2020-09-02,29.2,19.6,0.2,0.2,51
2020-09-03,29.8,19.0,0.0,0.0,3
2020-09-04,25.5,13.2,0.0,0.0,3
2020-09-05,27.1,17.0,0.0,0.0,2
2020-09-06,27.6,15.9,16.2,16.2,63
2020-09-07,24.3,18.8,3.5,3.5,63
2020-09-08,18.8,16.7,33.5,33.5,63
2020-09-09,19.0,16.5,7.1,7.1,61
2020-09-10,17.8,16.5,0.9,0.9,53
2020-09-11,20.1,16.5,8.2,8.2,63
2020-09-12,22.4,17.2,30.6,30.6,63
2020-09-13,23.0,15.0,0.3,0.3,51
2020-09-14,21.6,15.8,0.0,0.0,2
2020-09-15,24.9,14.4,0.0,0.0,0
2020-09-16,26.6,14.9,0.0,0.0,2
2020-09-17,23.8,16.4,0.6,0.6,51
2020-09-18,15.9,12.8,0.1,0.1,51
2020-09-19,15.6,8.8,0.0,0.0,1
2020-09-20,20.8,9.9,0.0,0.0,2
2020-09-21,22.8,11.4,0.0,0.0,3
2020-09-22,25.0,11.9,0.0,0.0,2
2020-09-23,25.0,14.0,0.0,0.0,3
2020-09-24,25.6,14.1,0.0,0.0,3
2020-09-25,26.6,14.3,0.0,0.0,2
2020-09-26,28.4,16.9,0.0,0.0,3
2020-09-27,26.1,18.4,0.0,0.0,3
2020-09-28,19.1,12.2,7.6,7.6,61
2020-09-29,15.6,8.4,0.1,0.1,51
2020-09-30,18.2,11.2,0.4,0.4,51
2020-10-01,13.9,8.4,5.1,5.1,61
2020-10-02,12.6,7.8,0.2,0.2,51
2020-10-03,13.9,6.4,0.4,0.4,51
2020-10-04,11.7,6.3,4.8,4.8,53
2020-10-05,15.2,3.2,0.0,0.0,0
2020-10-06,21.5,10.1,0.0,0.0,3
2020-10-07,22.5,14.3,0.0,0.0,0
2020-10-08,18.1,8.5,0.0,0.0,0
2020-10-09,26.0,10.9,0.0,0.0,3
2020-10-10,23.9,14.8,0.2,0.2,51
2020-10-11,19.4,13.8,0.9,0.9,51
2020-10-12,22.4,13.9,8.2,8.2,63
2020-10-13,20.2,7.6,0.0,0.0,2
2020-10-14,21.9,6.8,0.0,0.0,3
2020-10-15,21.0,9.4,0.2,0.2,51
2020-10-16,11.0,3.5,0.0,0.0,3
2020-10-17,16.6,3.2,0.0,0.0,3
2020-10-18,14.7,6.2,7.4,7.4,61
2020-10-19,9.9,4.7,4.6,4.6,61
2020-10-20,11.9,5.9,1.3,1.3,51
2020-10-21,12.5,8.1,3.1,3.1,61
2020-10-22,24.0,10.7,16.6,16.6,63
2020-10-23,21.5,7.7,16.5,16.5,63
2020-10-24,6.8,2.8,0.0,0.0,3
2020-10-25,8.1,5.2,0.2,0.2,51
2020-10-26,7.7,2.3,3.1,2.3,73
2020-10-27,3.3,1.6,2.4,0.5,73
2020-10-28,10.6,-0.2,0.0,0.0,3
2020-10-29,9.2,4.7,0.2,0.2,51
2020-10-30,5.1,0.2,0.0,0.0,3
2020-10-31,12.9,0.3,0.0,0.0,0
2020-11-01,11.6,2.0,0.0,0.0,3
2020-11-02,9.1,-3.0,0.0,0.0,3
2020-11-03,17.6,3.8,0.0,0.0,2
2020-11-04,20.1,10.1,0.0,0.0,1
2020-11-05,19.4,13.4,0.0,0.0,3
2020-11-06,21.5,9.6,0.0,0.0,2
2020-11-07,21.0,11.1,0.0,0.0,3
